time,S1,S2,I1,I2,R1,R2,W1,W2
0,9999,10000,1,0,0,0,0,0
0.05,9998.986787279415,9999.999999994003,1.0006834405326852,5.95962392453631e-9,0.012504271511317368,3.7283060912480765e-11,3.77821623083954e-4,2.3594805646903876e-7
0.1,9998.97354635789,9999.999999963955,1.0013863996839667,3.574677350400227e-8,0.02501720801173908,2.9805376660959585e-10,7.552904696087224e-4,9.431911906249695e-7
0.15000000000000002,9998.960276995536,9999.999999885611,1.0021088728952183,1.1315601140816816e-7,0.03753905346411486,1.2288351904198566e-9,0.00113241448425012,2.1205410686741584e-6
0.2,9998.946978982196,9999.999999737562,1.0028508564783927,2.5897278004783525e-7,0.05007002128525656,3.458682149780154e-9,0.001509200607241626,3.766974186907454e-6
0.25,9998.933652037338,9999.999999491007,1.0036123458914714,5.008704353455314e-7,0.06261039598136868,8.107615917182903e-9,0.0018856580784945268,5.881145571411374e-6
0.30000000000000004,9998.92029593005,9999.999999121945,1.0043933379418148,8.615236485245636e-7,0.0751604111904052,1.6498836982752072e-8,0.002261794468484137,8.461978613633584e-6
0.35000000000000003,9998.906910419075,9999.999998605117,1.00519382963268,1.3645589577468649e-6,0.08772031067558524,3.0263540445897266e-8,0.002637617664949319,1.1508367365076406e-5
0.4,9998.893495262822,9999.999997915022,1.0060138183384606,2.033566011563857e-6,0.10029033816814505,5.1310495612819255e-8,0.0030131355425934373,1.5019225209759016e-5
0.45,9998.880050219284,9999.999997025861,1.006853301882458,2.8920904745708466e-6,0.11287073736378464,8.188412129200595e-8,0.0033883559604529555,1.8993488888138254e-5
0.5,9998.866575046115,9999.999995911608,1.0077122784486727,3.963644036755283e-6,0.125461751936568,1.244983122474709e-7,0.003763286765196638,2.3430113847718688e-5
0.55,9998.8530695006,9999.999994545973,1.008590746614318,5.27170198774547e-6,0.13806362554020335,1.8196063937920544e-7,0.004137935790113779,2.8328075901775676e-5
0.6000000000000001,9998.839533339637,9999.999992902407,1.0094887053521344,6.839703973017102e-6,0.15067660181284936,2.57373943441764e-7,0.0045123108551925525,3.368637130737492e-5
0.65,9998.825966319746,9999.999990954102,1.0104061540272513,8.691055239258284e-6,0.16330092438212307,3.541338569343641e-7,0.004886419767381415,3.950401656154823e-5
0.7000000000000001,9998.812368197063,9999.999988673992,1.0113430923967508,1.0849127722778858e-5,0.17593683687044864,4.7592834243343986e-7,0.005260270320773844,4.578004833378298e-5
0.75,9998.798738727328,9999.999986034747,1.0122995206093048,1.3337260973239592e-5,0.1885845828996046,6.267373136441463e-7,0.005633870296765112,5.251352340933161e-5
0.8,9998.78507766589,9999.999983008782,1.0132754392047973,1.617876313300035e-5,0.20124440609555028,8.108322423962459e-7,0.006007227464218493,5.970351862952028e-5
0.8500000000000001,9998.771384767695,9999.999979568245,1.0142708491139354,1.9396911960868982e-5,0.213916550093477,1.0327757576471261e-06,0.006380349579638989,6.734913082981377e-5
0.9,9998.757659787285,9999.999975685028,1.0152857516578842,2.3014955812977204e-5,0.22660125854265595,1.2974212751096567e-6,0.006753244387339759,7.544947678112524e-5
0.9500000000000001,9998.743902478793,9999.999971330752,1.0163201485479088,2.705611462744463e-5,0.23929877511131167,1.6099126362745455e-6,0.007125919619609175,8.400369313140972e-5
1,9998.730112595938,9999.999966476782,1.0173740418850226,3.154358090779821e-5,0.25200934349149545,1.9756837593907304e-6,0.007498382996877645,9.301093634787275e-5
1.05,9998.716289892025,9999.99996109422,1.0184474341596441,3.650052070422874e-5,0.26473320740395584,2.4004583026375315e-6,0.007870642227884054,1.0247038265984587e-4
1.1,9998.702434119927,9999.999955153895,1.0195403282512632,4.1950074592596324e-5,0.27747061060300326,2.8902493395931266e-6,0.008242705009841781,1.1238122800233581e-4
1.1500000000000001,9998.688545032099,9999.999948626379,1.0206527274281119,4.7915358651278094e-5,0.29022179688137173,3.4513590469059475e-6,0.008614579028604345,1.22742687960241e-4
1.2000000000000002,9998.674622380559,9999.999941481976,1.0217846353468472,5.441946543586755e-5,0.30298701007507645,4.090378404173696e-6,0.008986271958830642,1.3355399771323436e-4
1.25,9998.660665916892,9999.999933690719,1.0229360560522394,6.148546495176513e-5,0.31576649406826657,4.81418690598776e-6,0.0093577914641498,1.4481441198130928e-4
1.3,9998.646675392241,9999.99992522238,1.0241069939768688,6.913640562468964e-5,0.3285604927980752,5.62995228612433e-6,0.009729145197325663,1.5652320497098744e-4
1.35,9998.632650557302,9999.999916046463,1.0252974539408315,7.739531526914301e-5,0.34136925025946485,6.545130253853145e-6,0.010100340800420866,1.686796703221845e-4
1.4000000000000001,9998.61859116232,9999.999906132198,1.0265074411514512,8.628520205486059e-5,0.35419301051006974,7.567464242339772e-6,0.010471385904960561,1.8128312105573325e-4
1.4500000000000002,9998.604496957088,9999.999895448549,1.0277369612030012,9.582905547127786e-5,0.36703201767503446,8.704985169115957e-6,0.01084228813209575,1.943328895215605e-4
1.5,9998.590367690942,9999.99988396421,1.0289860200764323,1.0604984729004603e-4,0.37988651595184875,9.96601120859362e-6,0.011213055092766263,2.0782832734751605e-4
1.55,9998.576203112749,9999.999871647602,1.0302546241391097,1.169705325256276e-4,0.39275674961518,1.1359147576598281e-5,0.011583694387863365,2.217688053888517e-4
1.6,9998.56200297091,9999.999858466877,1.031542780144558,1.2861405039400308e-4,0.40564296302170094,1.2893286326898025e-5,0.011954213608391991,2.3615371367834712e-4
1.6500000000000001,9998.547767013355,9999.999844389913,1.0328504952322135,1.4100332526952104e-4,0.4185454006149161,1.4577606159704744e-5,0.012324620335632634,2.5098246137708163e-4
